assessment_date,basements,building_code,category_code,census_tract,central_air,date_exterior_condition,depth,exempt_building,exempt_land,exterior_condition,fireplaces,frontage,fuel,garage_spaces,garage_type,general_construction,homestead_exemption,house_extension,interior_condition,market_value,market_value_date,number_of_bathrooms,number_of_bedrooms,number_of_rooms,number_stories,off_street_open,parcel_shape,quality_grade,recording_date,sale_date,sale_price,separate_utilities,sewer,site_type,taxable_building,taxable_land,topography,total_area,total_livable_area,type_heater,unfinished,utility,view_type,year_built,year_built_estimate,zip_code,zoning,building_code_new,lat,lng
2022-05-24,,JV   ,4,,,,0.0,0.0,3090000.0,,,1.0,,,,,0,,,3090000.0,,,,,,,B,C ,2058-12-08,2058-12-08,2.0,,,,0.0,0.0,F,1672704.0,0.0,,,,I,0.0,,,,PP,,
2022-05-24,,SD   ,6,54.0,,,100.0,0.0,403100.0,,,40.0,,,,,0,,,403100.0,,,,,,8967.0,B,,2058-12-08,2058-12-08,1.0,,,,0.0,0.0,F,117600.0,,,,,I,,,19153.0,RSA5,,39.89124481531266,-75.24627194106331
2022-05-24,,SD   ,6,809.0,,,382.0,0.0,335600.0,,,384.0,,,,,0,,,335600.0,,,,,,6576.0,A,,2058-12-08,2058-12-08,2.0,,,,0.0,0.0,F,81487.0,,,,,A,,,19153.0,SPAIR,,39.88947855938707,-75.24513864475072
2022-05-24,,SI   ,6,56.0,,,103.0,0.0,160400.0,,,189.0,,,,,0,,,160400.0,,,,,,5396.0,E,,2058-12-08,2058-12-08,1.0,,,,0.0,0.0,F,19475.0,,,,,I,,,19153.0,,,39.90025362020493,-75.2395213492288
2022-05-24,,SJ   ,6,54.0,,,495.0,0.0,886500.0,,,435.0,,,,,0,,,886500.0,,,,,,,A,,2058-12-08,2058-12-08,1.0,,,,0.0,0.0,F,215186.0,,,,,I,,,19153.0,I2,,39.89188199449225,-75.24370515156926
2022-05-24,,SI   ,6,809.0,,,348.0,0.0,120300.0,,,12.0,,,,,0,,,120300.0,,,,,,4179.0,B,,2058-12-08,2058-12-08,1.0,,,,0.0,0.0,F,30064.0,,,,,I,,,19153.0,,,39.917635373961325,-75.21230248483641
2022-05-24,,SI   ,6,809.0,,,458.0,0.0,426900.0,,,481.0,,,,,0,,,426900.0,,,,,,,A,,2058-12-08,2058-12-08,1.0,,,,0.0,0.0,F,103636.0,,,,,I,,,19153.0,,,39.918243273087626,-75.21871236643706
2022-05-24,,SI   ,6,,,,250.0,0.0,235400.0,,,314.0,,,,,0,,,235400.0,,,,,,,E,,2058-12-08,2058-12-08,1.0,,,,0.0,0.0,F,78450.0,,,,,,,,,,,,
2022-05-24,,SC   ,6,67.0,,,206.0,0.0,203800.0,,,330.0,,,,,0,,,203800.0,,,,,,,E,,2058-12-08,2058-12-08,1.0,,,,0.0,0.0,F,67941.0,,,,,I,,,19143.0,I1,,39.92541680427663,-75.21842993351568
2022-05-24,,SC   ,6,67.0,,,200.0,0.0,347800.0,,,515.0,,,,,0,,,347800.0,,,,,,,E,,2058-12-08,2058-12-08,1.0,,,,0.0,0.0,F,103052.0,,,,,I,,,19143.0,I1,,39.926444621116254,-75.21773668411213
